id,dataset,model,K,hidden,lr,weight_decay,epochs,patience,seed,best_val_acc,test_acc,epochs_ran,parallel_mode
Texas_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s0,Texas,GPRGNN,4,128,0.01,0.0005,500,50,0,0.4444,0.4211,53,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s1,Texas,GPRGNN,4,128,0.01,0.0005,500,50,1,0.5556,0.5263,53,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s2,Texas,GPRGNN,4,128,0.01,0.0005,500,50,2,0.7500,0.6842,152,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s3,Texas,GPRGNN,4,128,0.01,0.0005,500,50,3,0.5000,0.4211,138,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s4,Texas,GPRGNN,4,128,0.01,0.0005,500,50,4,0.5833,0.4737,53,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s5,Texas,GPRGNN,4,128,0.01,0.0005,500,50,5,0.4444,0.3684,152,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s6,Texas,GPRGNN,4,128,0.01,0.0005,500,50,6,0.5000,0.3684,108,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s7,Texas,GPRGNN,4,128,0.01,0.0005,500,50,7,0.7500,0.7105,126,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s8,Texas,GPRGNN,4,128,0.01,0.0005,500,50,8,0.6667,0.6579,61,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0005_e500_p50_s9,Texas,GPRGNN,4,128,0.01,0.0005,500,50,9,0.5000,0.4737,53,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s0,Texas,GPRGNN,4,128,0.01,0.0001,500,50,0,0.5556,0.5000,131,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s1,Texas,GPRGNN,4,128,0.01,0.0001,500,50,1,0.6111,0.4737,53,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s2,Texas,GPRGNN,4,128,0.01,0.0001,500,50,2,0.6111,0.5000,53,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s3,Texas,GPRGNN,4,128,0.01,0.0001,500,50,3,0.6111,0.6053,136,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s4,Texas,GPRGNN,4,128,0.01,0.0001,500,50,4,0.5833,0.4737,53,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s5,Texas,GPRGNN,4,128,0.01,0.0001,500,50,5,0.4167,0.6053,53,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s6,Texas,GPRGNN,4,128,0.01,0.0001,500,50,6,0.5000,0.5789,53,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s7,Texas,GPRGNN,4,128,0.01,0.0001,500,50,7,0.6667,0.6579,103,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s8,Texas,GPRGNN,4,128,0.01,0.0001,500,50,8,0.6944,0.6842,104,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0.0001_e500_p50_s9,Texas,GPRGNN,4,128,0.01,0.0001,500,50,9,0.4722,0.4737,53,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s0,Texas,GPRGNN,4,128,0.01,0.0,500,50,0,0.4722,0.4474,53,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s1,Texas,GPRGNN,4,128,0.01,0.0,500,50,1,0.5278,0.5000,52,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s2,Texas,GPRGNN,4,128,0.01,0.0,500,50,2,0.6389,0.5526,89,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s3,Texas,GPRGNN,4,128,0.01,0.0,500,50,3,0.5556,0.3684,213,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s4,Texas,GPRGNN,4,128,0.01,0.0,500,50,4,0.5556,0.4737,53,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s5,Texas,GPRGNN,4,128,0.01,0.0,500,50,5,0.3889,0.6053,54,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s6,Texas,GPRGNN,4,128,0.01,0.0,500,50,6,0.6389,0.3684,185,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s7,Texas,GPRGNN,4,128,0.01,0.0,500,50,7,0.6944,0.7368,117,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s8,Texas,GPRGNN,4,128,0.01,0.0,500,50,8,0.6667,0.6053,63,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.01_wd0_e500_p50_s9,Texas,GPRGNN,4,128,0.01,0.0,500,50,9,0.4722,0.4211,83,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s0,Texas,GPRGNN,4,128,0.005,0.0005,500,50,0,0.4722,0.4474,51,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s1,Texas,GPRGNN,4,128,0.005,0.0005,500,50,1,0.5833,0.4211,55,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s2,Texas,GPRGNN,4,128,0.005,0.0005,500,50,2,0.6389,0.5000,53,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s3,Texas,GPRGNN,4,128,0.005,0.0005,500,50,3,0.4444,0.4474,90,lr_wd_seed_batched
Texas_GPRGNN_K4_H128_lr0.005_wd0.0005_e500_p50_s4,Texas,GPRGNN,4,128,0.005,0.0005,500,50,4,0.5278,0.4737,51,lr_wd_seed_batched
