id,dataset,model,K,hidden,lr,weight_decay,epochs,patience,seed,best_val_acc,test_acc,epochs_ran,parallel_mode
Tolokers_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s4,Tolokers,GPRGNN,4,128,0.005,0.0,500,50,4,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s5,Tolokers,GPRGNN,4,128,0.005,0.0,500,50,5,0.7804,0.7859,83,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s6,Tolokers,GPRGNN,4,128,0.005,0.0,500,50,6,0.7796,0.7859,82,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s7,Tolokers,GPRGNN,4,128,0.005,0.0,500,50,7,0.7804,0.7859,87,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s8,Tolokers,GPRGNN,4,128,0.005,0.0,500,50,8,0.7804,0.7876,85,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.005_wd0_e500_p50_s9,Tolokers,GPRGNN,4,128,0.005,0.0,500,50,9,0.7787,0.7867,99,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0005_e500_p50_s0,Tolokers,GPRGNN,4,128,0.001,0.0005,500,50,0,0.7779,0.7876,55,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0005_e500_p50_s1,Tolokers,GPRGNN,4,128,0.001,0.0005,500,50,1,0.7779,0.7876,53,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0005_e500_p50_s2,Tolokers,GPRGNN,4,128,0.001,0.0005,500,50,2,0.7779,0.7876,54,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0005_e500_p50_s3,Tolokers,GPRGNN,4,128,0.001,0.0005,500,50,3,0.7779,0.7876,53,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0005_e500_p50_s4,Tolokers,GPRGNN,4,128,0.001,0.0005,500,50,4,0.7779,0.7876,56,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0005_e500_p50_s5,Tolokers,GPRGNN,4,128,0.001,0.0005,500,50,5,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0005_e500_p50_s6,Tolokers,GPRGNN,4,128,0.001,0.0005,500,50,6,0.7779,0.7876,54,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0005_e500_p50_s7,Tolokers,GPRGNN,4,128,0.001,0.0005,500,50,7,0.7779,0.7876,57,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0005_e500_p50_s8,Tolokers,GPRGNN,4,128,0.001,0.0005,500,50,8,0.7779,0.7850,56,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0005_e500_p50_s9,Tolokers,GPRGNN,4,128,0.001,0.0005,500,50,9,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0001_e500_p50_s0,Tolokers,GPRGNN,4,128,0.001,0.0001,500,50,0,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0001_e500_p50_s1,Tolokers,GPRGNN,4,128,0.001,0.0001,500,50,1,0.7787,0.7867,54,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0001_e500_p50_s2,Tolokers,GPRGNN,4,128,0.001,0.0001,500,50,2,0.7779,0.7876,54,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0001_e500_p50_s3,Tolokers,GPRGNN,4,128,0.001,0.0001,500,50,3,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0001_e500_p50_s4,Tolokers,GPRGNN,4,128,0.001,0.0001,500,50,4,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0001_e500_p50_s5,Tolokers,GPRGNN,4,128,0.001,0.0001,500,50,5,0.7779,0.7876,59,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0001_e500_p50_s6,Tolokers,GPRGNN,4,128,0.001,0.0001,500,50,6,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0001_e500_p50_s7,Tolokers,GPRGNN,4,128,0.001,0.0001,500,50,7,0.7821,0.7884,52,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0001_e500_p50_s8,Tolokers,GPRGNN,4,128,0.001,0.0001,500,50,8,0.7779,0.7850,63,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0.0001_e500_p50_s9,Tolokers,GPRGNN,4,128,0.001,0.0001,500,50,9,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0_e500_p50_s0,Tolokers,GPRGNN,4,128,0.001,0.0,500,50,0,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0_e500_p50_s1,Tolokers,GPRGNN,4,128,0.001,0.0,500,50,1,0.7779,0.7867,53,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0_e500_p50_s2,Tolokers,GPRGNN,4,128,0.001,0.0,500,50,2,0.7779,0.7876,57,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0_e500_p50_s3,Tolokers,GPRGNN,4,128,0.001,0.0,500,50,3,0.7779,0.7876,56,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0_e500_p50_s4,Tolokers,GPRGNN,4,128,0.001,0.0,500,50,4,0.7779,0.7876,57,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0_e500_p50_s5,Tolokers,GPRGNN,4,128,0.001,0.0,500,50,5,0.7779,0.7876,53,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0_e500_p50_s6,Tolokers,GPRGNN,4,128,0.001,0.0,500,50,6,0.7779,0.7876,55,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0_e500_p50_s7,Tolokers,GPRGNN,4,128,0.001,0.0,500,50,7,0.7779,0.7867,51,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0_e500_p50_s8,Tolokers,GPRGNN,4,128,0.001,0.0,500,50,8,0.7779,0.7876,53,lr_wd_seed_batched
Tolokers_GPRGNN_K4_H128_lr0.001_wd0_e500_p50_s9,Tolokers,GPRGNN,4,128,0.001,0.0,500,50,9,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0005_e500_p50_s0,Tolokers,GPRGNN,10,64,0.01,0.0005,500,50,0,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0005_e500_p50_s1,Tolokers,GPRGNN,10,64,0.01,0.0005,500,50,1,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0005_e500_p50_s2,Tolokers,GPRGNN,10,64,0.01,0.0005,500,50,2,0.7779,0.7876,53,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0005_e500_p50_s3,Tolokers,GPRGNN,10,64,0.01,0.0005,500,50,3,0.7787,0.7876,73,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0005_e500_p50_s4,Tolokers,GPRGNN,10,64,0.01,0.0005,500,50,4,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0005_e500_p50_s5,Tolokers,GPRGNN,10,64,0.01,0.0005,500,50,5,0.7796,0.7859,69,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0005_e500_p50_s6,Tolokers,GPRGNN,10,64,0.01,0.0005,500,50,6,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0005_e500_p50_s7,Tolokers,GPRGNN,10,64,0.01,0.0005,500,50,7,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0005_e500_p50_s8,Tolokers,GPRGNN,10,64,0.01,0.0005,500,50,8,0.7796,0.7884,109,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0005_e500_p50_s9,Tolokers,GPRGNN,10,64,0.01,0.0005,500,50,9,0.7796,0.7850,72,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0001_e500_p50_s0,Tolokers,GPRGNN,10,64,0.01,0.0001,500,50,0,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0001_e500_p50_s1,Tolokers,GPRGNN,10,64,0.01,0.0001,500,50,1,0.7787,0.7842,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0001_e500_p50_s2,Tolokers,GPRGNN,10,64,0.01,0.0001,500,50,2,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0001_e500_p50_s3,Tolokers,GPRGNN,10,64,0.01,0.0001,500,50,3,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0001_e500_p50_s4,Tolokers,GPRGNN,10,64,0.01,0.0001,500,50,4,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0001_e500_p50_s5,Tolokers,GPRGNN,10,64,0.01,0.0001,500,50,5,0.7796,0.7850,77,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0001_e500_p50_s6,Tolokers,GPRGNN,10,64,0.01,0.0001,500,50,6,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0001_e500_p50_s7,Tolokers,GPRGNN,10,64,0.01,0.0001,500,50,7,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0001_e500_p50_s8,Tolokers,GPRGNN,10,64,0.01,0.0001,500,50,8,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0.0001_e500_p50_s9,Tolokers,GPRGNN,10,64,0.01,0.0001,500,50,9,0.7787,0.7901,87,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0_e500_p50_s0,Tolokers,GPRGNN,10,64,0.01,0.0,500,50,0,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0_e500_p50_s1,Tolokers,GPRGNN,10,64,0.01,0.0,500,50,1,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0_e500_p50_s2,Tolokers,GPRGNN,10,64,0.01,0.0,500,50,2,0.7779,0.7782,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0_e500_p50_s3,Tolokers,GPRGNN,10,64,0.01,0.0,500,50,3,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0_e500_p50_s4,Tolokers,GPRGNN,10,64,0.01,0.0,500,50,4,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0_e500_p50_s5,Tolokers,GPRGNN,10,64,0.01,0.0,500,50,5,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0_e500_p50_s6,Tolokers,GPRGNN,10,64,0.01,0.0,500,50,6,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0_e500_p50_s7,Tolokers,GPRGNN,10,64,0.01,0.0,500,50,7,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0_e500_p50_s8,Tolokers,GPRGNN,10,64,0.01,0.0,500,50,8,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.01_wd0_e500_p50_s9,Tolokers,GPRGNN,10,64,0.01,0.0,500,50,9,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0005_e500_p50_s0,Tolokers,GPRGNN,10,64,0.005,0.0005,500,50,0,0.7779,0.7876,54,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0005_e500_p50_s1,Tolokers,GPRGNN,10,64,0.005,0.0005,500,50,1,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0005_e500_p50_s2,Tolokers,GPRGNN,10,64,0.005,0.0005,500,50,2,0.7779,0.7867,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0005_e500_p50_s3,Tolokers,GPRGNN,10,64,0.005,0.0005,500,50,3,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0005_e500_p50_s4,Tolokers,GPRGNN,10,64,0.005,0.0005,500,50,4,0.7779,0.7876,53,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0005_e500_p50_s5,Tolokers,GPRGNN,10,64,0.005,0.0005,500,50,5,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0005_e500_p50_s6,Tolokers,GPRGNN,10,64,0.005,0.0005,500,50,6,0.7787,0.7876,82,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0005_e500_p50_s7,Tolokers,GPRGNN,10,64,0.005,0.0005,500,50,7,0.7779,0.7867,54,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0005_e500_p50_s8,Tolokers,GPRGNN,10,64,0.005,0.0005,500,50,8,0.7779,0.7876,53,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0005_e500_p50_s9,Tolokers,GPRGNN,10,64,0.005,0.0005,500,50,9,0.7779,0.7876,53,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0001_e500_p50_s0,Tolokers,GPRGNN,10,64,0.005,0.0001,500,50,0,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0001_e500_p50_s1,Tolokers,GPRGNN,10,64,0.005,0.0001,500,50,1,0.7796,0.7876,79,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0001_e500_p50_s2,Tolokers,GPRGNN,10,64,0.005,0.0001,500,50,2,0.7787,0.7876,85,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0001_e500_p50_s3,Tolokers,GPRGNN,10,64,0.005,0.0001,500,50,3,0.7787,0.7816,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0001_e500_p50_s4,Tolokers,GPRGNN,10,64,0.005,0.0001,500,50,4,0.7779,0.7876,54,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0001_e500_p50_s5,Tolokers,GPRGNN,10,64,0.005,0.0001,500,50,5,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0001_e500_p50_s6,Tolokers,GPRGNN,10,64,0.005,0.0001,500,50,6,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0001_e500_p50_s7,Tolokers,GPRGNN,10,64,0.005,0.0001,500,50,7,0.7779,0.7859,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0001_e500_p50_s8,Tolokers,GPRGNN,10,64,0.005,0.0001,500,50,8,0.7796,0.7876,86,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0.0001_e500_p50_s9,Tolokers,GPRGNN,10,64,0.005,0.0001,500,50,9,0.7779,0.7876,54,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0_e500_p50_s0,Tolokers,GPRGNN,10,64,0.005,0.0,500,50,0,0.7796,0.7884,86,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0_e500_p50_s1,Tolokers,GPRGNN,10,64,0.005,0.0,500,50,1,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0_e500_p50_s2,Tolokers,GPRGNN,10,64,0.005,0.0,500,50,2,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0_e500_p50_s3,Tolokers,GPRGNN,10,64,0.005,0.0,500,50,3,0.7804,0.7910,53,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0_e500_p50_s4,Tolokers,GPRGNN,10,64,0.005,0.0,500,50,4,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0_e500_p50_s5,Tolokers,GPRGNN,10,64,0.005,0.0,500,50,5,0.7779,0.7876,54,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0_e500_p50_s6,Tolokers,GPRGNN,10,64,0.005,0.0,500,50,6,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0_e500_p50_s7,Tolokers,GPRGNN,10,64,0.005,0.0,500,50,7,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0_e500_p50_s8,Tolokers,GPRGNN,10,64,0.005,0.0,500,50,8,0.7779,0.7876,53,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.005_wd0_e500_p50_s9,Tolokers,GPRGNN,10,64,0.005,0.0,500,50,9,0.7779,0.7876,54,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0005_e500_p50_s0,Tolokers,GPRGNN,10,64,0.001,0.0005,500,50,0,0.7779,0.7867,54,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0005_e500_p50_s1,Tolokers,GPRGNN,10,64,0.001,0.0005,500,50,1,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0005_e500_p50_s2,Tolokers,GPRGNN,10,64,0.001,0.0005,500,50,2,0.7796,0.7910,70,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0005_e500_p50_s3,Tolokers,GPRGNN,10,64,0.001,0.0005,500,50,3,0.7787,0.7867,59,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0005_e500_p50_s4,Tolokers,GPRGNN,10,64,0.001,0.0005,500,50,4,0.7779,0.7876,62,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0005_e500_p50_s5,Tolokers,GPRGNN,10,64,0.001,0.0005,500,50,5,0.7779,0.7876,60,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0005_e500_p50_s6,Tolokers,GPRGNN,10,64,0.001,0.0005,500,50,6,0.7779,0.7876,63,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0005_e500_p50_s7,Tolokers,GPRGNN,10,64,0.001,0.0005,500,50,7,0.7787,0.7833,68,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0005_e500_p50_s8,Tolokers,GPRGNN,10,64,0.001,0.0005,500,50,8,0.7779,0.7850,66,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0005_e500_p50_s9,Tolokers,GPRGNN,10,64,0.001,0.0005,500,50,9,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0001_e500_p50_s0,Tolokers,GPRGNN,10,64,0.001,0.0001,500,50,0,0.7779,0.7876,56,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0001_e500_p50_s1,Tolokers,GPRGNN,10,64,0.001,0.0001,500,50,1,0.7779,0.7867,54,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0001_e500_p50_s2,Tolokers,GPRGNN,10,64,0.001,0.0001,500,50,2,0.7787,0.7867,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0001_e500_p50_s3,Tolokers,GPRGNN,10,64,0.001,0.0001,500,50,3,0.7779,0.7876,62,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0001_e500_p50_s4,Tolokers,GPRGNN,10,64,0.001,0.0001,500,50,4,0.7779,0.7859,60,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0001_e500_p50_s5,Tolokers,GPRGNN,10,64,0.001,0.0001,500,50,5,0.7779,0.7876,58,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0001_e500_p50_s6,Tolokers,GPRGNN,10,64,0.001,0.0001,500,50,6,0.7779,0.7876,55,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0001_e500_p50_s7,Tolokers,GPRGNN,10,64,0.001,0.0001,500,50,7,0.7779,0.7876,68,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0001_e500_p50_s8,Tolokers,GPRGNN,10,64,0.001,0.0001,500,50,8,0.7779,0.7884,56,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0.0001_e500_p50_s9,Tolokers,GPRGNN,10,64,0.001,0.0001,500,50,9,0.7779,0.7876,53,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0_e500_p50_s0,Tolokers,GPRGNN,10,64,0.001,0.0,500,50,0,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0_e500_p50_s1,Tolokers,GPRGNN,10,64,0.001,0.0,500,50,1,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0_e500_p50_s2,Tolokers,GPRGNN,10,64,0.001,0.0,500,50,2,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0_e500_p50_s3,Tolokers,GPRGNN,10,64,0.001,0.0,500,50,3,0.7787,0.7876,67,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0_e500_p50_s4,Tolokers,GPRGNN,10,64,0.001,0.0,500,50,4,0.7779,0.7867,56,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0_e500_p50_s5,Tolokers,GPRGNN,10,64,0.001,0.0,500,50,5,0.7779,0.7876,63,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0_e500_p50_s6,Tolokers,GPRGNN,10,64,0.001,0.0,500,50,6,0.7787,0.7859,59,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0_e500_p50_s7,Tolokers,GPRGNN,10,64,0.001,0.0,500,50,7,0.7779,0.7867,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0_e500_p50_s8,Tolokers,GPRGNN,10,64,0.001,0.0,500,50,8,0.7796,0.7850,69,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H64_lr0.001_wd0_e500_p50_s9,Tolokers,GPRGNN,10,64,0.001,0.0,500,50,9,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0005_e500_p50_s0,Tolokers,GPRGNN,10,128,0.01,0.0005,500,50,0,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0005_e500_p50_s1,Tolokers,GPRGNN,10,128,0.01,0.0005,500,50,1,0.7796,0.7876,65,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0005_e500_p50_s2,Tolokers,GPRGNN,10,128,0.01,0.0005,500,50,2,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0005_e500_p50_s3,Tolokers,GPRGNN,10,128,0.01,0.0005,500,50,3,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0005_e500_p50_s4,Tolokers,GPRGNN,10,128,0.01,0.0005,500,50,4,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0005_e500_p50_s5,Tolokers,GPRGNN,10,128,0.01,0.0005,500,50,5,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0005_e500_p50_s6,Tolokers,GPRGNN,10,128,0.01,0.0005,500,50,6,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0005_e500_p50_s7,Tolokers,GPRGNN,10,128,0.01,0.0005,500,50,7,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0005_e500_p50_s8,Tolokers,GPRGNN,10,128,0.01,0.0005,500,50,8,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0005_e500_p50_s9,Tolokers,GPRGNN,10,128,0.01,0.0005,500,50,9,0.7804,0.7859,69,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0001_e500_p50_s0,Tolokers,GPRGNN,10,128,0.01,0.0001,500,50,0,0.7796,0.7876,71,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0001_e500_p50_s1,Tolokers,GPRGNN,10,128,0.01,0.0001,500,50,1,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0001_e500_p50_s2,Tolokers,GPRGNN,10,128,0.01,0.0001,500,50,2,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0001_e500_p50_s3,Tolokers,GPRGNN,10,128,0.01,0.0001,500,50,3,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0001_e500_p50_s4,Tolokers,GPRGNN,10,128,0.01,0.0001,500,50,4,0.7813,0.7825,70,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0001_e500_p50_s5,Tolokers,GPRGNN,10,128,0.01,0.0001,500,50,5,0.7779,0.7876,52,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0001_e500_p50_s6,Tolokers,GPRGNN,10,128,0.01,0.0001,500,50,6,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0001_e500_p50_s7,Tolokers,GPRGNN,10,128,0.01,0.0001,500,50,7,0.7779,0.7876,51,lr_wd_seed_batched
Tolokers_GPRGNN_K10_H128_lr0.01_wd0.0001_e500_p50_s8,Tolokers,GPRGNN,10,128,0.01,0.0001,500,50,8,0.7779,0.7876,51,lr_wd_seed_batched
