id,dataset,model,depth,hidden,eps,dropout,wd,relu,seed,test_acc
Cora_L1_H64_epsna_d0.5_wd1e-05_relu1_s0,Cora,h2gcn,1,64,na,0.5,1e-05,True,0,0.7757
Cora_L1_H64_epsna_d0.5_wd1e-05_relu1_s1,Cora,h2gcn,1,64,na,0.5,1e-05,True,1,0.7868
Cora_L1_H64_epsna_d0.5_wd1e-05_relu1_s2,Cora,h2gcn,1,64,na,0.5,1e-05,True,2,0.7610
Cora_L1_H64_epsna_d0.5_wd1e-05_relu0_s0,Cora,h2gcn,1,64,na,0.5,1e-05,False,0,0.7463
Cora_L1_H64_epsna_d0.5_wd1e-05_relu0_s1,Cora,h2gcn,1,64,na,0.5,1e-05,False,1,0.7757
Cora_L1_H64_epsna_d0.5_wd1e-05_relu0_s2,Cora,h2gcn,1,64,na,0.5,1e-05,False,2,0.7721
Cora_L1_H64_epsna_d0.5_wd0.0005_relu1_s0,Cora,h2gcn,1,64,na,0.5,0.0005,True,0,0.7610
Cora_L1_H64_epsna_d0.5_wd0.0005_relu1_s1,Cora,h2gcn,1,64,na,0.5,0.0005,True,1,0.7904
Cora_L1_H64_epsna_d0.5_wd0.0005_relu1_s2,Cora,h2gcn,1,64,na,0.5,0.0005,True,2,0.7610
Cora_L1_H64_epsna_d0.5_wd0.0005_relu0_s0,Cora,h2gcn,1,64,na,0.5,0.0005,False,0,0.7500
Cora_L1_H64_epsna_d0.5_wd0.0005_relu0_s1,Cora,h2gcn,1,64,na,0.5,0.0005,False,1,0.7721
Cora_L1_H64_epsna_d0.5_wd0.0005_relu0_s2,Cora,h2gcn,1,64,na,0.5,0.0005,False,2,0.7684
Cora_L2_H64_epsna_d0.0_wd0_relu1_s0,Cora,h2gcn,2,64,na,0.0,0,True,0,0.7243
Cora_L2_H64_epsna_d0.0_wd0_relu1_s1,Cora,h2gcn,2,64,na,0.0,0,True,1,0.7757
Cora_L2_H64_epsna_d0.0_wd0_relu1_s2,Cora,h2gcn,2,64,na,0.0,0,True,2,0.7426
Cora_L2_H64_epsna_d0.0_wd0_relu0_s0,Cora,h2gcn,2,64,na,0.0,0,False,0,0.7500
Cora_L2_H64_epsna_d0.0_wd0_relu0_s1,Cora,h2gcn,2,64,na,0.0,0,False,1,0.7316
Cora_L2_H64_epsna_d0.0_wd0_relu0_s2,Cora,h2gcn,2,64,na,0.0,0,False,2,0.7463
Cora_L2_H64_epsna_d0.0_wd1e-05_relu1_s0,Cora,h2gcn,2,64,na,0.0,1e-05,True,0,0.7426
Cora_L2_H64_epsna_d0.0_wd1e-05_relu1_s1,Cora,h2gcn,2,64,na,0.0,1e-05,True,1,0.7831
Cora_L2_H64_epsna_d0.0_wd1e-05_relu1_s2,Cora,h2gcn,2,64,na,0.0,1e-05,True,2,0.7426
Cora_L2_H64_epsna_d0.0_wd1e-05_relu0_s0,Cora,h2gcn,2,64,na,0.0,1e-05,False,0,0.7500
Cora_L2_H64_epsna_d0.0_wd1e-05_relu0_s1,Cora,h2gcn,2,64,na,0.0,1e-05,False,1,0.7316
Cora_L2_H64_epsna_d0.0_wd1e-05_relu0_s2,Cora,h2gcn,2,64,na,0.0,1e-05,False,2,0.7463
Cora_L2_H64_epsna_d0.0_wd0.0005_relu1_s0,Cora,h2gcn,2,64,na,0.0,0.0005,True,0,0.7426
Cora_L2_H64_epsna_d0.0_wd0.0005_relu1_s1,Cora,h2gcn,2,64,na,0.0,0.0005,True,1,0.7500
Cora_L2_H64_epsna_d0.0_wd0.0005_relu1_s2,Cora,h2gcn,2,64,na,0.0,0.0005,True,2,0.7426
Cora_L2_H64_epsna_d0.0_wd0.0005_relu0_s0,Cora,h2gcn,2,64,na,0.0,0.0005,False,0,0.7390
Cora_L2_H64_epsna_d0.0_wd0.0005_relu0_s1,Cora,h2gcn,2,64,na,0.0,0.0005,False,1,0.7390
Cora_L2_H64_epsna_d0.0_wd0.0005_relu0_s2,Cora,h2gcn,2,64,na,0.0,0.0005,False,2,0.7574
Cora_L2_H64_epsna_d0.25_wd0_relu1_s0,Cora,h2gcn,2,64,na,0.25,0,True,0,0.7574
Cora_L2_H64_epsna_d0.25_wd0_relu1_s1,Cora,h2gcn,2,64,na,0.25,0,True,1,0.7574
Cora_L2_H64_epsna_d0.25_wd0_relu1_s2,Cora,h2gcn,2,64,na,0.25,0,True,2,0.7537
Cora_L2_H64_epsna_d0.25_wd0_relu0_s0,Cora,h2gcn,2,64,na,0.25,0,False,0,0.7353
Cora_L2_H64_epsna_d0.25_wd0_relu0_s1,Cora,h2gcn,2,64,na,0.25,0,False,1,0.7390
Cora_L2_H64_epsna_d0.25_wd0_relu0_s2,Cora,h2gcn,2,64,na,0.25,0,False,2,0.7500
Cora_L2_H64_epsna_d0.25_wd1e-05_relu1_s0,Cora,h2gcn,2,64,na,0.25,1e-05,True,0,0.7610
Cora_L2_H64_epsna_d0.25_wd1e-05_relu1_s1,Cora,h2gcn,2,64,na,0.25,1e-05,True,1,0.7610
Cora_L2_H64_epsna_d0.25_wd1e-05_relu1_s2,Cora,h2gcn,2,64,na,0.25,1e-05,True,2,0.7610
Cora_L2_H64_epsna_d0.25_wd1e-05_relu0_s0,Cora,h2gcn,2,64,na,0.25,1e-05,False,0,0.7353
Cora_L2_H64_epsna_d0.25_wd1e-05_relu0_s1,Cora,h2gcn,2,64,na,0.25,1e-05,False,1,0.7390
Cora_L2_H64_epsna_d0.25_wd1e-05_relu0_s2,Cora,h2gcn,2,64,na,0.25,1e-05,False,2,0.7500
Cora_L2_H64_epsna_d0.25_wd0.0005_relu1_s0,Cora,h2gcn,2,64,na,0.25,0.0005,True,0,0.7500
