epoch,val_acc
0,0.7850
1,0.7850
2,0.7850
3,0.7850
4,0.7850
5,0.7850
6,0.7850
7,0.7850
8,0.7850
9,0.7850
10,0.7860
11,0.7860
12,0.7860
13,0.7860
14,0.7870
15,0.7870
16,0.7860
17,0.7860
18,0.7860
19,0.7870
20,0.7870
21,0.7870
22,0.7900
23,0.7920
24,0.7990
25,0.8060
26,0.7990
27,0.8060
28,0.8110
29,0.8120
30,0.8070
31,0.8090
32,0.8110
33,0.8120
34,0.8180
35,0.8160
36,0.8210
37,0.8260
38,0.8230
39,0.8230
40,0.8250
41,0.8270
42,0.8310
43,0.8320
44,0.8340
45,0.8370
46,0.8360
47,0.8400
48,0.8420
49,0.8410
50,0.8460
51,0.8470
52,0.8480
53,0.8460
54,0.8450
55,0.8430
56,0.8440
57,0.8470
58,0.8480
59,0.8480
60,0.8480
61,0.8470
62,0.8460
63,0.8470
64,0.8470
65,0.8460
66,0.8460
67,0.8460
68,0.8470
69,0.8480
70,0.8480
71,0.8480
72,0.8470
